date,total_on,total_off,computer_on,computer_off,book_on,book_off,clothes_on,clothes_off,accessory_on,accessory_off,cosmetic_on,cosmetic_off,food_on,food_off,agri_marine_product_on,agri_marine_product_off,daily_supplies_on,daily_supplies_off,pets_on,pets_off,travel_on,travel_off,leisure_on,leisure_off,food_service_on,food_service_off
2017-01-01,4712488,2597990,350585,71800,43716,107514,628483,236032,83229,60209,246020,408125,426900,248951,143965,115064,441862,150448,49161,3935,556367,659096,85177,79078,155733,27623
2017-02-01,4619215,2529634,395409,79933,45396,108933,614162,213510,84476,62409,242894,486334,361590,211492,91813,75732,462621,144497,58302,3703,485877,624563,74835,49057,151531,22393
2017-03-01,5094744,2652267,391170,82181,52014,133557,773722,269019,101809,63868,253968,461326,404941,236730,105221,88929,467380,152114,61067,4198,459248,613348,93762,44371,169969,22126
2017-04-01,4966280,2414515,302977,65303,37367,85051,723872,248775,98902,66281,245905,337431,422008,230905,98629,77510,440803,134521,55195,4188,514669,620172,84314,35285,173147,23397
2017-05-01,5108106,2513613,284161,66763,35363,79017,725010,253225,100422,68280,252477,370375,400562,232792,97741,78021,456021,144537,52045,4067,553876,628019,74403,59382,185985,24580
2017-06-01,5071821,2443308,305461,71258,35106,81166,684739,225003,98506,64319,259977,392556,404096,237497,100678,80170,454135,143108,52171,3921,605075,605833,97899,46413,171939,23692
2017-07-01,5326514,2572040,312458,68516,44330,98754,661511,225860,98604,71431,245888,373568,403010,235166,100627,82056,470412,143177,54842,3658,703785,675617,83354,68293,198934,25691
2017-08-01,5207878,2651780,341688,74705,49030,100959,564593,193632,99690,78514,238550,414013,432294,260347,110918,83171,481991,149630,57017,3573,716128,690211,90651,94232,227686,26074
2017-09-01,5389721,2761422,325546,73966,42037,94628,720959,238720,94303,76042,251137,465978,528747,299105,168532,120431,493976,159767,62112,3965,555825,667123,85559,41472,215255,23863
2017-10-01,5026725,2635078,287138,66386,35100,78632,756720,277985,89854,71595,240801,437076,391889,216726,102396,72384,460492,141556,60567,3924,564692,642821,101899,77607,217654,25120
2017-11-01,6108073,2888905,376247,84492,45507,87017,1046877,397068,113199,76380,283576,505648,455569,246021,127657,81087,548889,159725,68285,4390,533732,623930,106582,38500,254716,25925
2017-12-01,6017781,2875865,381442,94036,55650,106031,844941,350949,125294,80806,269622,433922,450650,259034,133520,88332,536135,145765,57505,4775,596617,681725,124683,82367,307585,31954
2018-01-01,5818134,3208874,413278,98395,57237,114017,698979,265258,116713,78586,263698,507210,539977,306844,144878,107032,537843,172586,67363,4815,599833,891601,106689,75698,317403,30054
2018-02-01,5322427,2884869,368709,84699,48987,98796,601473,223679,97197,81182,251489,494887,517502,297156,166564,123214,481744,154295,56426,4518,516921,729128,98457,53381,297622,26623
2018-03-01,6154785,3220981,399562,104499,56507,135089,869541,293591,122241,87906,264871,566782,528716,298157,130558,98242,569295,170044,63842,4792,494731,769457,128104,43312,334302,27461
2018-04-01,5923578,3110695,326559,82495,44691,99479,794127,284142,109019,87269,262069,540359,518709,291306,125284,90115,540632,169232,65935,4403,552441,768016,95639,69326,340432,25524
2018-05-01,6171124,3192100,324499,79736,44694,84431,813737,287668,108396,89678,263545,554982,538225,310819,128057,93678,560332,155631,64531,4702,602720,826490,90631,63109,359688,29707
2018-06-01,5952979,3012096,297926,73918,37802,79551,748693,269170,107262,82138,247784,524721,515833,295413,121562,92710,536943,150955,70457,4669,631698,782226,108088,61533,383805,29248
2018-07-01,6481320,3172100,326899,77352,46130,101930,732933,259398,119536,90410,256462,522504,560335,306571,130152,94078,575266,164914,71014,4834,737858,830274,86333,77895,425533,31394
2018-08-01,6093461,3176920,332120,86785,51192,98032,600642,227720,104436,89914,253105,548879,590227,314905,137336,97746,553093,161843,66762,4718,717923,842140,94695,118832,465089,31841
2018-09-01,6021560,3115719,307688,74491,41390,86793,724081,279871,89613,79744,251421,598196,666824,333230,176417,133602,529809,161995,61725,4502,536357,729241,108901,74380,435697,28053
2018-10-01,6596248,3420194,332927,86817,43785,87959,918226,432681,103353,79294,277822,616465,599709,310698,141896,96164,608691,180014,64591,5075,548156,781050,121792,64688,474130,28326
2018-11-01,7094530,3479614,376226,91940,52867,89539,1015913,466279,110762,81399,300975,610591,626843,300825,159634,97034,629514,170335,63212,5089,518686,777747,121191,65820,480989,29507
2018-12-01,7158748,3530953,383589,117772,57983,110517,919459,471085,129371,91432,296435,576812,613748,311861,154887,99671,625518,162303,63289,4788,579779,816940,110089,86660,592989,37360
2019-01-01,7031694,3691293,434184,124000,61006,114192,713306,369925,100986,88310,310947,587369,801818,395268,232819,163085,626797,185299,66567,5017,597649,908464,85382,77867,587656,36264
2019-02-01,6312740,3294567,425513,114491,56830,98762,612760,328762,90280,92737,273097,587971,580801,286978,134933,86359,559493,181171,58565,5293,562649,818683,77385,97501,584938,31904
2019-03-01,7480854,3778325,416954,113246,64719,133817,796183,441400,108554,100329,298599,725037,693392,333603,156942,108962,667167,180434,66076,5543,534018,811122,113274,67861,664528,47582
2019-04-01,7088095,3583541,359450,107494,51598,97239,771924,423111,113203,97720,301515,660198,716594,343243,164519,106939,638116,162439,68764,5508,550916,808915,101658,78113,656805,30809
2019-05-01,7625718,3627695,349242,87940,50590,83552,835746,422732,126760,104253,308665,680554,754382,354180,163589,106403,678197,162924,70347,5486,627839,824854,101167,73011,710904,33062
2019-06-01,7126640,3477569,293049,93348,41711,81414,738814,365837,115519,97069,277767,666100,701266,339751,155939,100839,629372,163600,71067,5315,627751,813966,115318,110062,740043,35303
2019-07-01,7525453,3671810,351168,88892,53078,104197,744468,378827,123064,105716,284719,700171,722445,367222,160515,106992,648933,175543,70951,5611,737542,868470,98633,96858,791673,37046
2019-08-01,7594771,3683863,347817,97056,55893,99546,581168,311255,109625,99786,293711,744113,810616,402393,177705,127187,666800,184585,69313,6543,750244,874915,99123,98062,874802,39449
2019-09-01,7536314,3725165,344546,88490,50484,97589,709541,455344,103707,105470,294989,806053,839833,392007,214239,143060,654154,183995,72638,8196,559540,756288,90938,62248,815134,34881
2019-10-01,7895812,3975380,346520,95724,46244,88380,845147,549251,103578,99739,330215,825254,796299,389096,188027,107874,698537,185507,79300,7579,613208,819914,113502,74166,868724,39008
2019-11-01,8731622,4120474,429422,94848,57393,90821,1037237,641867,117587,95691,369481,865140,837644,357811,200865,107501,731936,176588,77826,6868,619574,820586,111824,85344,984015,36508
2019-12-01,8587680,4096972,439891,110935,65475,114183,882898,538978,129682,110204,338275,852279,838527,373558,205061,113847,722306,182222,78214,7001,682977,885817,101793,81647,1012605,39198
2020-01-01,8250203,4054558,427881,122336,63791,108520,588246,451506,102709,96760,358359,768690,977880,438563,287620,181570,753007,234945,77872,6680,648961,892642,87114,72591,1025555,38321
2020-02-01,8542414,3420838,490913,125555,76215,115131,556310,397237,106546,75981,375064,674618,1023994,457519,257567,191302,934534,199826,77848,7381,305014,405487,31474,27162,1091002,44017
2020-03-01,9224185,3400544,539592,148166,86874,168657,712193,477891,115715,67932,386951,594913,1161920,469571,318569,198581,1024784,220661,82214,9343,184989,178308,10434,9707,1201278,50645
2020-04-01,8843206,3222331,492947,152329,80878,125404,708131,474577,103293,65621,364544,596759,1079496,440598,290546,177627,892817,198648,81441,8884,204635,235936,18169,7475,1216515,46502
2020-05-01,9428716,3313933,433145,157182,67861,102855,862164,505183,120370,72863,366167,567914,1069805,407767,266122,150778,955096,205027,81573,8863,249526,307924,38038,10683,1270339,50057
2020-06-01,9162029,3524971,395492,139613,63475,108037,833656,516173,125181,66240,343485,640525,1040425,418970,262633,146443,960106,214060,79070,8886,279701,318332,24734,18505,1208333,44078
2020-07-01,9563410,3415287,448397,159726,72051,115789,710310,412331,137611,69217,352310,652308,1144760,464503,304717,149488,992334,227632,87079,8884,384385,406445,50845,24232,1331099,46626
2020-08-01,10771806,3569812,534846,130788,95746,123050,580634,371328,129874,64817,358241,740462,1264752,486826,352573,169914,1105841,248722,90508,8784,429904,355024,21692,35384,1618298,91782
2020-09-01,10958276,3762558,543131,154673,99732,138179,727639,472628,110631,61894,384987,721084,1618741,559570,492171,266767,1063840,260119,93737,9187,257878,286637,17383,21032,1558955,65091
